category,link to the article
https://www.alexa.com/covid-19/treatment,https://www.cdc.gov/coronavirus/2019-nCoV/summary.html#risk-assessment
https://www.alexa.com/covid-19/treatment,https://www.nhs.uk/conditions/coronavirus-covid-19/
https://www.alexa.com/covid-19/treatment,https://www1.nyc.gov/site/doh/health/health-topics/coronavirus.page
https://www.alexa.com/covid-19/treatment,https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection.html
https://www.alexa.com/covid-19/emerging-data,https://sunnybrook.ca/research/media/item.asp?c=2&i=2069&f=covid-19-isolated-2020#.XmqdRmlrVfY.twitter
https://www.alexa.com/covid-19/emerging-data,https://coronawiki.org/page/study-17-9-of-people-with-covid-19-coronavirus-had-no-symptoms
https://www.alexa.com/covid-19/emerging-data,https://www.pittwire.pitt.edu/news/covid-19-vaccine-candidate-shows-promise-first-peer-reviewed-research
https://www.alexa.com/covid-19/emerging-data,https://www.inverse.com/science/pets-covid-19
https://www.alexa.com/covid-19/emerging-data,https://www.bmj.com/content/369/bmj.m1844
https://www.alexa.com/covid-19/emerging-data,https://www.washingtontimes.com/news/2020/may/21/australian-researchers-see-virus-design-manipulati/
https://www.alexa.com/covid-19/emerging-data,https://www.forbes.com/sites/brucelee/2020/03/17/covid-19-coronavirus-did-not-come-from-a-lab-study-shows-natural-origins/
https://www.alexa.com/covid-19/emerging-data,https://www.thegatewaypundit.com/2020/03/stunning-development-2005-us-nih-study-found-chloroquine-was-effective-in-treating-coronavirus-infection-so-why-is-dr-fauci-questioning-its-use-now/
https://www.alexa.com/covid-19/emerging-data,https://www.statnews.com/2020/03/17/a-fiasco-in-the-making-as-the-coronavirus-pandemic-takes-hold-we-are-making-decisions-without-reliable-data/
https://www.alexa.com/covid-19/emerging-data,https://www.dailywire.com/news/stanford-professor-data-indicates-were-overreacting-to-coronavirus
https://www.alexa.com/covid-19/clinical-trials,https://truepundit.com/cover-up-fauci-approved-chloroquine-hydroxychloroquine-15-years-ago-to-treat-nobody-needed-to-die/
https://www.alexa.com/covid-19/clinical-trials,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-investigational-vaccine-covid-19-begins
https://www.alexa.com/covid-19/clinical-trials,https://www.jpost.com/HEALTH-SCIENCE/Israeli-scientists-In-three-weeks-we-will-have-coronavirus-vaccine-619101
https://www.alexa.com/covid-19/clinical-trials,https://www.pittwire.pitt.edu/news/covid-19-vaccine-candidate-shows-promise-first-peer-reviewed-research
https://www.alexa.com/covid-19/clinical-trials,https://news.sky.com/story/coronavirus-covid-19-vaccine-for-30-million-by-september-if-trial-succeeds-says-sharma-11990039
https://www.alexa.com/covid-19/clinical-trials,https://theconversation.com/we-found-and-tested-47-old-drugs-that-might-treat-the-coronavirus-results-show-promising-leads-and-a-whole-new-way-to-fight-covid-19-136789
https://www.alexa.com/covid-19/clinical-trials,https://justthenews.com/politics-policy/coronavirus/fda-gives-emergency-approval-use-anti-malaria-drugs-fight-coronavirus#.XoFzCK1FrPk.twitter
https://www.alexa.com/covid-19/clinical-trials,https://onenewsnow.com/perspectives/bryan-fischer/2020/04/27/fauci-knew-about-hcq-in-2005-nobody-needed-to-die
https://www.alexa.com/covid-19/clinical-trials,https://triblive.com/local/pittsburgh-allegheny/pittsburgh-scientists-say-coronavirus-vaccine-could-be-fast-tracked-after-key-animal-testing/
